10/8/1988,"Ann Arbor, MI",michigan,msu,17–3,no content
10/14/1989,"East Lansing, MI",michigan,msu,10–7,no content
10/13/1990,"Ann Arbor, MI",msu,michigan,28–27,no content
10/12/1991,"East Lansing, MI",michigan,msu,45–28,no content
10/10/1992,"Ann Arbor, MI",michigan,msu,35–10,no content
10/9/1993,"East Lansing, MI",msu,michigan,17–7,no content
10/8/1994,"Ann Arbor, MI",michigan,msu,40–20,no content
11/4/1995,"East Lansing, MI",msu,michigan,28–25,no content
11/2/1996,"Ann Arbor, MI",michigan,msu,45–29,no content
10/25/1997,"East Lansing, MI",michigan,msu,23–7,no content
9/26/1998,"Ann Arbor, MI",michigan,msu,29–17,no content
10/9/1999,"East Lansing, MI",msu,michigan,34–31,no content
10/21/2000,"Ann Arbor, MI",michigan,msu,14–0,no content
11/3/2001,"East Lansing, MI",msu,michigan,26–24,no content
11/2/2002,"Ann Arbor, MI",msu,michigan,49–3,no content
11/1/2003,"East Lansing, MI",michigan,msu,27–20,no content
10/30/2004,"Ann Arbor, MI",michigan,msu,45–373OT,no content
10/1/2005,"East Lansing, MI",michigan,msu,34–31OT,no content
10/7/2006,"Ann Arbor, MI",michigan,msu,31–13,no content
11/3/2007,"East Lansing, MI",michigan,msu,28–24,no content
10/25/2008,"Ann Arbor, MI",msu,michigan,35–21,no content
10/3/2009,"East Lansing, MI",msu,michigan,26–20OT,no content
10/9/2010,"Ann Arbor, MI",msu,michigan,34–17,no content
10/15/2011,"East Lansing, MI",msu,michigan,28–14,no content
10/20/2012,"Ann Arbor, MI",michigan,msu,12–10,no content
11/2/2013,"East Lansing, MI",msu,michigan,29–6,no content
10/25/2014,"East Lansing, MI",msu,michigan,35–11,no content
10/17/2015,"Ann Arbor, MI",msu,michigan,27–23,no content
10/29/2016,"East Lansing, MI",michigan,msu,32–23,no content
10/7/2017,"Ann Arbor, MI",msu,michigan,14–10,no content
10/20/2018,"East Lansing, MI",michigan,msu,21–7,no content
11/16/2019,"Ann Arbor, MI",michigan,msu,44–10,no content
10/31/2020,"Ann Arbor, MI",msu,michigan,27–24,no content
10/30/2021,"East Lansing, MI",msu,michigan,37–33,Mel Tucker!
